sessionId,completedAt,familiarity,comparisonId,comparison_type,theme,poemA_id,poemB_id,original_condition_A,original_condition_B,displayed_left_poem_id,displayed_right_poem_id,displayed_left_condition,displayed_right_condition,stronger_overall_answer,stronger_overall_selected_poem_id,stronger_overall_selected_condition,emotional_impact_answer,emotional_impact_selected_poem_id,emotional_impact_selected_condition,originality_answer,originality_selected_poem_id,originality_selected_condition,like_answer,like_selected_poem_id,like_selected_condition,human_authorship_answer,human_authorship_selected_poem_id,human_authorship_selected_condition,timestamp
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-45,Guideline_vs_Persona,Hope,Hope-Guideline-5,Hope-Persona-5,Guideline,Persona,Hope-Persona-5,Hope-Guideline-5,Persona,Guideline,A,Hope-Persona-5,Persona,B,Hope-Guideline-5,Guideline,A,Hope-Persona-5,Persona,Both equally,BOTH,BOTH,A,Hope-Persona-5,Persona,2026-03-17T04:42:14.123Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-01,Baseline_vs_Guideline,Longing,Longing-Baseline-1,Longing-Guideline-1,Baseline,Guideline,Longing-Baseline-1,Longing-Guideline-1,Baseline,Guideline,B,Longing-Guideline-1,Guideline,B,Longing-Guideline-1,Guideline,A,Longing-Baseline-1,Baseline,A,Longing-Baseline-1,Baseline,B,Longing-Guideline-1,Guideline,2026-03-17T04:43:24.542Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-41,Guideline_vs_Persona,Hope,Hope-Guideline-1,Hope-Persona-1,Guideline,Persona,Hope-Guideline-1,Hope-Persona-1,Guideline,Persona,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,B,Hope-Persona-1,Persona,2026-03-17T04:44:30.569Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-24,Baseline_vs_Persona,Grief,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Grief-Persona-4,Grief-Baseline-4,Persona,Baseline,A,Grief-Persona-4,Persona,B,Grief-Baseline-4,Baseline,A,Grief-Persona-4,Persona,B,Grief-Baseline-4,Baseline,A,Grief-Persona-4,Persona,2026-03-17T04:45:14.835Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-12,Guideline_vs_Persona,Longing,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,Longing-Persona-2,Longing-Guideline-2,Persona,Guideline,B,Longing-Guideline-2,Guideline,A,Longing-Persona-2,Persona,B,Longing-Guideline-2,Guideline,B,Longing-Guideline-2,Guideline,B,Longing-Guideline-2,Guideline,2026-03-17T04:45:49.237Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-29,Guideline_vs_Persona,Grief,Grief-Guideline-4,Grief-Persona-4,Guideline,Persona,Grief-Persona-4,Grief-Guideline-4,Persona,Guideline,B,Grief-Guideline-4,Guideline,B,Grief-Guideline-4,Guideline,A,Grief-Persona-4,Persona,B,Grief-Guideline-4,Guideline,B,Grief-Guideline-4,Guideline,2026-03-17T04:46:38.414Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-27,Guideline_vs_Persona,Grief,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,A,Grief-Guideline-2,Guideline,A,Grief-Guideline-2,Guideline,A,Grief-Guideline-2,Guideline,B,Grief-Persona-2,Persona,A,Grief-Guideline-2,Guideline,2026-03-17T04:47:01.966Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,B,Hope-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-17T04:47:27.937Z
sess_1zstw4gh_1773722418536,2026-03-17T04:48:01.754Z,somewhat_familiar,comp-14,Guideline_vs_Persona,Longing,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,Longing-Persona-4,Longing-Guideline-4,Persona,Guideline,B,Longing-Guideline-4,Guideline,B,Longing-Guideline-4,Guideline,A,Longing-Persona-4,Persona,B,Longing-Guideline-4,Guideline,Not sure,NOT_SURE,NOT_SURE,2026-03-17T04:47:53.804Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-35,Baseline_vs_Guideline,Hope,Hope-Baseline-5,Hope-Guideline-5,Baseline,Guideline,Hope-Guideline-5,Hope-Baseline-5,Guideline,Baseline,B,Hope-Baseline-5,Baseline,B,Hope-Baseline-5,Baseline,Not sure,NOT_SURE,NOT_SURE,B,Hope-Baseline-5,Baseline,B,Hope-Baseline-5,Baseline,2026-03-18T08:00:01.573Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-37,Baseline_vs_Persona,Hope,Hope-Baseline-2,Hope-Persona-2,Baseline,Persona,Hope-Baseline-2,Hope-Persona-2,Baseline,Persona,A,Hope-Baseline-2,Baseline,B,Hope-Persona-2,Persona,Both equally,BOTH,BOTH,B,Hope-Persona-2,Persona,B,Hope-Persona-2,Persona,2026-03-18T08:02:16.185Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-14,Guideline_vs_Persona,Longing,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,2026-03-18T08:02:51.787Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-20,Baseline_vs_Guideline,Grief,Grief-Baseline-5,Grief-Guideline-5,Baseline,Guideline,Grief-Guideline-5,Grief-Baseline-5,Guideline,Baseline,Tie,,,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,Both,BOTH,BOTH,2026-03-18T08:03:35.056Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-26,Guideline_vs_Persona,Grief,Grief-Guideline-1,Grief-Persona-1,Guideline,Persona,Grief-Persona-1,Grief-Guideline-1,Persona,Guideline,Tie,,,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,2026-03-18T08:04:38.461Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-25,Baseline_vs_Persona,Grief,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,A,Grief-Baseline-5,Baseline,A,Grief-Baseline-5,Baseline,Not sure,NOT_SURE,NOT_SURE,A,Grief-Baseline-5,Baseline,A,Grief-Baseline-5,Baseline,2026-03-18T08:05:54.952Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-07,Baseline_vs_Persona,Longing,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Longing-Persona-2,Longing-Baseline-2,Persona,Baseline,B,Longing-Baseline-2,Baseline,Both equally,BOTH,BOTH,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,2026-03-18T08:09:04.883Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-40,Baseline_vs_Persona,Hope,Hope-Baseline-5,Hope-Persona-5,Baseline,Persona,Hope-Baseline-5,Hope-Persona-5,Baseline,Persona,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,2026-03-18T08:15:55.948Z
sess_6pv7xrd7_1773820732658,2026-03-18T08:17:48.056Z,very_familiar,comp-11,Guideline_vs_Persona,Longing,Longing-Guideline-1,Longing-Persona-1,Guideline,Persona,Longing-Guideline-1,Longing-Persona-1,Guideline,Persona,A,Longing-Guideline-1,Guideline,Both equally,BOTH,BOTH,A,Longing-Guideline-1,Guideline,Both equally,BOTH,BOTH,A,Longing-Guideline-1,Guideline,2026-03-18T08:17:41.286Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-27,Guideline_vs_Persona,Grief,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,Grief-Persona-2,Grief-Guideline-2,Persona,Guideline,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,A,Grief-Persona-2,Persona,A,Grief-Persona-2,Persona,2026-03-17T10:06:47.770Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-08,Baseline_vs_Persona,Longing,Longing-Baseline-3,Longing-Persona-3,Baseline,Persona,Longing-Baseline-3,Longing-Persona-3,Baseline,Persona,A,Longing-Baseline-3,Baseline,A,Longing-Baseline-3,Baseline,A,Longing-Baseline-3,Baseline,Both equally,BOTH,BOTH,B,Longing-Persona-3,Persona,2026-03-17T11:08:32.143Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-43,Guideline_vs_Persona,Hope,Hope-Guideline-3,Hope-Persona-3,Guideline,Persona,Hope-Guideline-3,Hope-Persona-3,Guideline,Persona,B,Hope-Persona-3,Persona,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,B,Hope-Persona-3,Persona,A,Hope-Guideline-3,Guideline,2026-03-17T11:10:52.771Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-02,Baseline_vs_Guideline,Longing,Longing-Baseline-2,Longing-Guideline-2,Baseline,Guideline,Longing-Guideline-2,Longing-Baseline-2,Guideline,Baseline,B,Longing-Baseline-2,Baseline,A,Longing-Guideline-2,Guideline,A,Longing-Guideline-2,Guideline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,2026-03-17T11:13:35.974Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-29,Guideline_vs_Persona,Grief,Grief-Guideline-4,Grief-Persona-4,Guideline,Persona,Grief-Guideline-4,Grief-Persona-4,Guideline,Persona,Tie,,,Both equally,BOTH,BOTH,A,Grief-Guideline-4,Guideline,B,Grief-Persona-4,Persona,A,Grief-Guideline-4,Guideline,2026-03-17T11:14:36.150Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-38,Baseline_vs_Persona,Hope,Hope-Baseline-3,Hope-Persona-3,Baseline,Persona,Hope-Baseline-3,Hope-Persona-3,Baseline,Persona,A,Hope-Baseline-3,Baseline,A,Hope-Baseline-3,Baseline,B,Hope-Persona-3,Persona,B,Hope-Persona-3,Persona,B,Hope-Persona-3,Persona,2026-03-17T11:15:02.144Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-10,Baseline_vs_Persona,Longing,Longing-Baseline-5,Longing-Persona-5,Baseline,Persona,Longing-Persona-5,Longing-Baseline-5,Persona,Baseline,A,Longing-Persona-5,Persona,B,Longing-Baseline-5,Baseline,B,Longing-Baseline-5,Baseline,B,Longing-Baseline-5,Baseline,B,Longing-Baseline-5,Baseline,2026-03-17T11:15:19.102Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-44,Guideline_vs_Persona,Hope,Hope-Guideline-4,Hope-Persona-4,Guideline,Persona,Hope-Guideline-4,Hope-Persona-4,Guideline,Persona,Tie,,,Not sure,NOT_SURE,NOT_SURE,Not sure,NOT_SURE,NOT_SURE,A,Hope-Guideline-4,Guideline,Neither,NEITHER,NEITHER,2026-03-17T11:15:46.005Z
sess_9w06nzxm_1773738754404,2026-03-17T12:19:43.397Z,not_very_familiar,comp-25,Baseline_vs_Persona,Grief,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,Grief-Persona-5,Grief-Baseline-5,Persona,Baseline,B,Grief-Baseline-5,Baseline,Both equally,BOTH,BOTH,B,Grief-Baseline-5,Baseline,B,Grief-Baseline-5,Baseline,B,Grief-Baseline-5,Baseline,2026-03-17T12:19:36.583Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-21,Baseline_vs_Persona,Grief,Grief-Baseline-1,Grief-Persona-1,Baseline,Persona,Grief-Persona-1,Grief-Baseline-1,Persona,Baseline,B,Grief-Baseline-1,Baseline,B,Grief-Baseline-1,Baseline,B,Grief-Baseline-1,Baseline,B,Grief-Baseline-1,Baseline,B,Grief-Baseline-1,Baseline,2026-03-16T19:24:50.704Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-14,Guideline_vs_Persona,Longing,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,B,Longing-Persona-4,Persona,A,Longing-Guideline-4,Guideline,Both equally,BOTH,BOTH,A,Longing-Guideline-4,Guideline,B,Longing-Persona-4,Persona,2026-03-16T19:27:04.195Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-28,Guideline_vs_Persona,Grief,Grief-Guideline-3,Grief-Persona-3,Guideline,Persona,Grief-Persona-3,Grief-Guideline-3,Persona,Guideline,Tie,,,B,Grief-Guideline-3,Guideline,Both equally,BOTH,BOTH,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,2026-03-16T19:28:47.631Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-03,Baseline_vs_Guideline,Longing,Longing-Baseline-3,Longing-Guideline-3,Baseline,Guideline,Longing-Baseline-3,Longing-Guideline-3,Baseline,Guideline,A,Longing-Baseline-3,Baseline,B,Longing-Guideline-3,Guideline,B,Longing-Guideline-3,Guideline,B,Longing-Guideline-3,Guideline,A,Longing-Baseline-3,Baseline,2026-03-16T19:30:44.332Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-35,Baseline_vs_Guideline,Hope,Hope-Baseline-5,Hope-Guideline-5,Baseline,Guideline,Hope-Baseline-5,Hope-Guideline-5,Baseline,Guideline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,A,Hope-Baseline-5,Baseline,2026-03-16T19:32:09.515Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-37,Baseline_vs_Persona,Hope,Hope-Baseline-2,Hope-Persona-2,Baseline,Persona,Hope-Persona-2,Hope-Baseline-2,Persona,Baseline,B,Hope-Baseline-2,Baseline,B,Hope-Baseline-2,Baseline,Both equally,BOTH,BOTH,B,Hope-Baseline-2,Baseline,B,Hope-Baseline-2,Baseline,2026-03-16T19:33:30.489Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,Tie,,,B,Hope-Guideline-2,Guideline,Both equally,BOTH,BOTH,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,2026-03-16T19:34:50.172Z
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-25,Baseline_vs_Persona,Grief,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,Tie,,,A,Grief-Baseline-5,Baseline,Both equally,BOTH,BOTH,A,Grief-Baseline-5,Baseline,Both,BOTH,BOTH,2026-03-16T19:36:03.992Z
