sessionId,completedAt,familiarity,comparisonId,comparison_type,theme,poemA_id,poemB_id,original_condition_A,original_condition_B,displayed_left_poem_id,displayed_right_poem_id,displayed_left_condition,displayed_right_condition,stronger_overall_answer,stronger_overall_selected_poem_id,stronger_overall_selected_condition,emotional_impact_answer,emotional_impact_selected_poem_id,emotional_impact_selected_condition,originality_answer,originality_selected_poem_id,originality_selected_condition,like_answer,like_selected_poem_id,like_selected_condition,human_authorship_answer,human_authorship_selected_poem_id,human_authorship_selected_condition,timestamp
sess_etdwuxw9_1773688930509,2026-03-16T19:36:58.104Z,very_familiar,comp-07,Baseline_vs_Persona,Longing,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Tie,,,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,Both equally,BOTH,BOTH,Both,BOTH,BOTH,2026-03-16T19:36:49.358Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-33,Baseline_vs_Guideline,Hope,Hope-Baseline-3,Hope-Guideline-3,Baseline,Guideline,Hope-Baseline-3,Hope-Guideline-3,Baseline,Guideline,A,Hope-Baseline-3,Baseline,A,Hope-Baseline-3,Baseline,A,Hope-Baseline-3,Baseline,A,Hope-Baseline-3,Baseline,A,Hope-Baseline-3,Baseline,2026-03-17T07:26:17.283Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-30,Guideline_vs_Persona,Grief,Grief-Guideline-5,Grief-Persona-5,Guideline,Persona,Grief-Guideline-5,Grief-Persona-5,Guideline,Persona,B,Grief-Persona-5,Persona,B,Grief-Persona-5,Persona,B,Grief-Persona-5,Persona,B,Grief-Persona-5,Persona,A,Grief-Guideline-5,Guideline,2026-03-17T07:26:44.077Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-22,Baseline_vs_Persona,Grief,Grief-Baseline-2,Grief-Persona-2,Baseline,Persona,Grief-Persona-2,Grief-Baseline-2,Persona,Baseline,A,Grief-Persona-2,Persona,B,Grief-Baseline-2,Baseline,B,Grief-Baseline-2,Baseline,Both equally,BOTH,BOTH,B,Grief-Baseline-2,Baseline,2026-03-17T07:26:54.918Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-19,Baseline_vs_Guideline,Grief,Grief-Baseline-4,Grief-Guideline-4,Baseline,Guideline,Grief-Guideline-4,Grief-Baseline-4,Guideline,Baseline,A,Grief-Guideline-4,Guideline,A,Grief-Guideline-4,Guideline,B,Grief-Baseline-4,Baseline,A,Grief-Guideline-4,Guideline,B,Grief-Baseline-4,Baseline,2026-03-17T07:27:03.025Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-13,Guideline_vs_Persona,Longing,Longing-Guideline-3,Longing-Persona-3,Guideline,Persona,Longing-Persona-3,Longing-Guideline-3,Persona,Guideline,A,Longing-Persona-3,Persona,B,Longing-Guideline-3,Guideline,B,Longing-Guideline-3,Guideline,Neither,NEITHER,NEITHER,Both,BOTH,BOTH,2026-03-17T07:27:12.357Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-15,Guideline_vs_Persona,Longing,Longing-Guideline-5,Longing-Persona-5,Guideline,Persona,Longing-Guideline-5,Longing-Persona-5,Guideline,Persona,A,Longing-Guideline-5,Guideline,A,Longing-Guideline-5,Guideline,B,Longing-Persona-5,Persona,B,Longing-Persona-5,Persona,Not sure,NOT_SURE,NOT_SURE,2026-03-17T07:27:21.367Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-39,Baseline_vs_Persona,Hope,Hope-Baseline-4,Hope-Persona-4,Baseline,Persona,Hope-Persona-4,Hope-Baseline-4,Persona,Baseline,B,Hope-Baseline-4,Baseline,B,Hope-Baseline-4,Baseline,B,Hope-Baseline-4,Baseline,A,Hope-Persona-4,Persona,B,Hope-Baseline-4,Baseline,2026-03-17T07:27:29.712Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-31,Baseline_vs_Guideline,Hope,Hope-Baseline-1,Hope-Guideline-1,Baseline,Guideline,Hope-Guideline-1,Hope-Baseline-1,Guideline,Baseline,A,Hope-Guideline-1,Guideline,A,Hope-Guideline-1,Guideline,Both equally,BOTH,BOTH,Neither,NEITHER,NEITHER,Not sure,NOT_SURE,NOT_SURE,2026-03-17T07:27:38.091Z
sess_mwagss7u_1773732343303,2026-03-17T07:27:56.314Z,somewhat_familiar,comp-05,Baseline_vs_Guideline,Longing,Longing-Baseline-5,Longing-Guideline-5,Baseline,Guideline,Longing-Baseline-5,Longing-Guideline-5,Baseline,Guideline,Tie,,,B,Longing-Guideline-5,Guideline,B,Longing-Guideline-5,Guideline,A,Longing-Baseline-5,Baseline,Neither,NEITHER,NEITHER,2026-03-17T07:27:50.288Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-14,Guideline_vs_Persona,Longing,Longing-Guideline-4,Longing-Persona-4,Guideline,Persona,Longing-Persona-4,Longing-Guideline-4,Persona,Guideline,B,Longing-Guideline-4,Guideline,B,Longing-Guideline-4,Guideline,B,Longing-Guideline-4,Guideline,B,Longing-Guideline-4,Guideline,A,Longing-Persona-4,Persona,2026-03-17T09:54:31.271Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-43,Guideline_vs_Persona,Hope,Hope-Guideline-3,Hope-Persona-3,Guideline,Persona,Hope-Guideline-3,Hope-Persona-3,Guideline,Persona,B,Hope-Persona-3,Persona,B,Hope-Persona-3,Persona,B,Hope-Persona-3,Persona,B,Hope-Persona-3,Persona,Both,BOTH,BOTH,2026-03-17T09:57:06.161Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-12,Guideline_vs_Persona,Longing,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,B,Longing-Persona-2,Persona,A,Longing-Guideline-2,Guideline,A,Longing-Guideline-2,Guideline,A,Longing-Guideline-2,Guideline,A,Longing-Guideline-2,Guideline,2026-03-17T09:58:42.482Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-25,Baseline_vs_Persona,Grief,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,Grief-Baseline-5,Grief-Persona-5,Baseline,Persona,B,Grief-Persona-5,Persona,A,Grief-Baseline-5,Baseline,A,Grief-Baseline-5,Baseline,A,Grief-Baseline-5,Baseline,A,Grief-Baseline-5,Baseline,2026-03-17T10:01:16.998Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-18,Baseline_vs_Guideline,Grief,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,Grief-Guideline-3,Grief-Baseline-3,Guideline,Baseline,B,Grief-Baseline-3,Baseline,B,Grief-Baseline-3,Baseline,B,Grief-Baseline-3,Baseline,B,Grief-Baseline-3,Baseline,B,Grief-Baseline-3,Baseline,2026-03-17T10:02:49.207Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-24,Baseline_vs_Persona,Grief,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Tie,,,Not sure,NOT_SURE,NOT_SURE,Not sure,NOT_SURE,NOT_SURE,Both equally,BOTH,BOTH,Not sure,NOT_SURE,NOT_SURE,2026-03-17T10:03:22.592Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-38,Baseline_vs_Persona,Hope,Hope-Baseline-3,Hope-Persona-3,Baseline,Persona,Hope-Baseline-3,Hope-Persona-3,Baseline,Persona,Tie,,,Not sure,NOT_SURE,NOT_SURE,Not sure,NOT_SURE,NOT_SURE,Both equally,BOTH,BOTH,Both,BOTH,BOTH,2026-03-17T10:03:36.026Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-31,Baseline_vs_Guideline,Hope,Hope-Baseline-1,Hope-Guideline-1,Baseline,Guideline,Hope-Baseline-1,Hope-Guideline-1,Baseline,Guideline,Tie,,,Not sure,NOT_SURE,NOT_SURE,Not sure,NOT_SURE,NOT_SURE,Both equally,BOTH,BOTH,Not sure,NOT_SURE,NOT_SURE,2026-03-17T10:03:50.652Z
sess_n5baf3fo_1773740926289,2026-03-17T10:04:14.408Z,very_familiar,comp-07,Baseline_vs_Persona,Longing,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Longing-Persona-2,Longing-Baseline-2,Persona,Baseline,Tie,,,Not sure,NOT_SURE,NOT_SURE,Not sure,NOT_SURE,NOT_SURE,Neither,NEITHER,NEITHER,Neither,NEITHER,NEITHER,2026-03-17T10:04:03.425Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-05,Baseline_vs_Guideline,Longing,Longing-Baseline-5,Longing-Guideline-5,Baseline,Guideline,Longing-Guideline-5,Longing-Baseline-5,Guideline,Baseline,A,Longing-Guideline-5,Guideline,A,Longing-Guideline-5,Guideline,A,Longing-Guideline-5,Guideline,A,Longing-Guideline-5,Guideline,A,Longing-Guideline-5,Guideline,2026-03-23T18:26:16.699Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-44,Guideline_vs_Persona,Hope,Hope-Guideline-4,Hope-Persona-4,Guideline,Persona,Hope-Guideline-4,Hope-Persona-4,Guideline,Persona,A,Hope-Guideline-4,Guideline,A,Hope-Guideline-4,Guideline,A,Hope-Guideline-4,Guideline,A,Hope-Guideline-4,Guideline,A,Hope-Guideline-4,Guideline,2026-03-23T18:27:02.524Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-11,Guideline_vs_Persona,Longing,Longing-Guideline-1,Longing-Persona-1,Guideline,Persona,Longing-Guideline-1,Longing-Persona-1,Guideline,Persona,B,Longing-Persona-1,Persona,B,Longing-Persona-1,Persona,B,Longing-Persona-1,Persona,B,Longing-Persona-1,Persona,B,Longing-Persona-1,Persona,2026-03-23T18:27:45.888Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-37,Baseline_vs_Persona,Hope,Hope-Baseline-2,Hope-Persona-2,Baseline,Persona,Hope-Baseline-2,Hope-Persona-2,Baseline,Persona,B,Hope-Persona-2,Persona,B,Hope-Persona-2,Persona,B,Hope-Persona-2,Persona,B,Hope-Persona-2,Persona,Both,BOTH,BOTH,2026-03-23T18:28:13.822Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-06,Baseline_vs_Persona,Longing,Longing-Baseline-1,Longing-Persona-1,Baseline,Persona,Longing-Persona-1,Longing-Baseline-1,Persona,Baseline,A,Longing-Persona-1,Persona,A,Longing-Persona-1,Persona,A,Longing-Persona-1,Persona,A,Longing-Persona-1,Persona,Both,BOTH,BOTH,2026-03-23T18:28:42.236Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-16,Baseline_vs_Guideline,Grief,Grief-Baseline-1,Grief-Guideline-1,Baseline,Guideline,Grief-Baseline-1,Grief-Guideline-1,Baseline,Guideline,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,B,Grief-Guideline-1,Guideline,Both,BOTH,BOTH,2026-03-23T18:29:06.438Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-23T18:29:33.901Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-18,Baseline_vs_Guideline,Grief,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,B,Grief-Guideline-3,Guideline,Both,BOTH,BOTH,2026-03-23T18:30:23.685Z
sess_rzepk1a9_1774289816769,2026-03-23T19:00:03.823Z,very_familiar,comp-27,Guideline_vs_Persona,Grief,Grief-Guideline-2,Grief-Persona-2,Guideline,Persona,Grief-Persona-2,Grief-Guideline-2,Persona,Guideline,A,Grief-Persona-2,Persona,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,B,Grief-Guideline-2,Guideline,Both,BOTH,BOTH,2026-03-23T18:59:56.849Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-32,Baseline_vs_Guideline,Hope,Hope-Baseline-2,Hope-Guideline-2,Baseline,Guideline,Hope-Guideline-2,Hope-Baseline-2,Guideline,Baseline,B,Hope-Baseline-2,Baseline,A,Hope-Guideline-2,Guideline,B,Hope-Baseline-2,Baseline,B,Hope-Baseline-2,Baseline,A,Hope-Guideline-2,Guideline,2026-03-22T13:55:46.456Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-12,Guideline_vs_Persona,Longing,Longing-Guideline-2,Longing-Persona-2,Guideline,Persona,Longing-Persona-2,Longing-Guideline-2,Persona,Guideline,A,Longing-Persona-2,Persona,B,Longing-Guideline-2,Guideline,A,Longing-Persona-2,Persona,A,Longing-Persona-2,Persona,A,Longing-Persona-2,Persona,2026-03-22T14:00:52.720Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-04,Baseline_vs_Guideline,Longing,Longing-Baseline-4,Longing-Guideline-4,Baseline,Guideline,Longing-Guideline-4,Longing-Baseline-4,Guideline,Baseline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,A,Longing-Guideline-4,Guideline,2026-03-22T14:04:33.074Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-18,Baseline_vs_Guideline,Grief,Grief-Baseline-3,Grief-Guideline-3,Baseline,Guideline,Grief-Guideline-3,Grief-Baseline-3,Guideline,Baseline,A,Grief-Guideline-3,Guideline,A,Grief-Guideline-3,Guideline,Both equally,BOTH,BOTH,A,Grief-Guideline-3,Guideline,Both,BOTH,BOTH,2026-03-22T14:06:00.348Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-19,Baseline_vs_Guideline,Grief,Grief-Baseline-4,Grief-Guideline-4,Baseline,Guideline,Grief-Guideline-4,Grief-Baseline-4,Guideline,Baseline,A,Grief-Guideline-4,Guideline,A,Grief-Guideline-4,Guideline,B,Grief-Baseline-4,Baseline,Both equally,BOTH,BOTH,B,Grief-Baseline-4,Baseline,2026-03-22T14:08:29.832Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-07,Baseline_vs_Persona,Longing,Longing-Baseline-2,Longing-Persona-2,Baseline,Persona,Longing-Persona-2,Longing-Baseline-2,Persona,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,B,Longing-Baseline-2,Baseline,2026-03-22T14:10:18.455Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-31,Baseline_vs_Guideline,Hope,Hope-Baseline-1,Hope-Guideline-1,Baseline,Guideline,Hope-Guideline-1,Hope-Baseline-1,Guideline,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,B,Hope-Baseline-1,Baseline,2026-03-22T14:11:19.783Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-24,Baseline_vs_Persona,Grief,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,Grief-Baseline-4,Grief-Persona-4,Baseline,Persona,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,A,Grief-Baseline-4,Baseline,B,Grief-Persona-4,Persona,2026-03-22T14:13:59.834Z
sess_s9g2eue4_1774187671674,2026-03-22T14:16:22.356Z,very_familiar,comp-42,Guideline_vs_Persona,Hope,Hope-Guideline-2,Hope-Persona-2,Guideline,Persona,Hope-Persona-2,Hope-Guideline-2,Persona,Guideline,B,Hope-Guideline-2,Guideline,A,Hope-Persona-2,Persona,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,B,Hope-Guideline-2,Guideline,2026-03-22T14:16:18.370Z